pattern,inferred_buy_in,inferred_type,inferred_max_entries,payout_shape_default,confidence,notes,payout_breadth,objective_class,ticket_count
Dime Time,0.10,portfolio_gpp,,broad_micro_gpp,inferred_high,Buy-in commonly explicit in title; verify max entries/field size if allocating additional entries.,0.15,gpp,
Just $0.10,0.10,portfolio_gpp,,broad_micro_gpp,inferred_high,Buy-in explicit in title.,0.15,gpp,
Quarter,0.25,portfolio_gpp,,broad_micro_gpp,inferred_medium,Verify exact buy-in if title has multiple dollar amounts.,0.15,gpp,
Jukebox,0.25,portfolio_gpp,,broad_micro_gpp,inferred_medium,Recurring cheap GPP family; verify field size/max entries for close allocation.,0.15,gpp,
Daily Dollar,1.00,se_gpp,1,single_entry_gpp,inferred_medium,If title lacks Single Entry verify max entries.,0.01,gpp,
Single Entry,,se_gpp,1,single_entry_gpp,inferred_high,Max entries inferred from title.,0.01,gpp,
 SE,,se_gpp,1,single_entry_gpp,inferred_medium,"Leading space is intentional: prevents false-positive matches on titles containing USE, POSE, or similar substrings. Abbreviation can be ambiguous; verify if unclear.",0.01,gpp,
3-Max,,portfolio_gpp,3,limited_entry_gpp,inferred_high,Max entries explicit in title.,0.10,gpp,
20-Max,,portfolio_gpp,20,portfolio_gpp,inferred_high,Max entries explicit in title.,0.15,gpp,
150-Max,,portfolio_gpp,150,mme_top_heavy,inferred_high,Large-field MME posture.,0.15,gpp,
MME,,portfolio_gpp,150,mme_top_heavy,inferred_medium,Verify site max if not explicit.,0.15,gpp,
Double Up,,cash,,flat_cash,inferred_high,Cash-game posture.,0.45,cash,
50/50,,cash,,flat_cash,inferred_high,Cash-game posture.,0.45,cash,
H2H,,cash,1,flat_cash,inferred_high,Head-to-head cash posture.,0.45,cash,
Satellite,,satellite,,ticket_line,inferred_high,Ticket count/value is decision-critical.,0.22,ticket_line,
Qualifier,,satellite,,ticket_line,inferred_high,Ticket count/value is decision-critical.,0.22,ticket_line,
Ticket,,satellite,,ticket_line,inferred_high,Ticket count/value is decision-critical.,0.22,ticket_line,
Winner Take All,,wta,,winner_take_all,inferred_high,First-place-only posture.,0.002,wta,
WTA,,wta,,winner_take_all,inferred_high,First-place-only posture.,0.002,wta,
Knuckleball,,portfolio_gpp,,portfolio_gpp,inferred_low,Recurring DK contest family; infer type from surrounding title and verify buy-in/max entries.,0.15,gpp,
Relay Throw,,portfolio_gpp,,portfolio_gpp,inferred_low,Recurring DK contest family; if title says Satellite treat as satellite.,0.15,gpp,
Pocket Cup,,portfolio_gpp,,portfolio_gpp,inferred_low,Recurring DK contest family; if title says Qualifier treat as satellite.,0.15,gpp,
mini-MAX,,portfolio_gpp,150,mme_top_heavy,inferred_high,"DK mini-MAX family: 150-entry personal cap, large-field top-heavy GPP. Observed 2026-07-29 on 'MLB $15K mini-MAX [150 Entry Max]': 17835-entrant field, paid to 4097th, 1st $1500/2nd $750/3rd $300, breadth computed at 4097/17835. Re-verify field size/payout if a different dollar-amount instance is entered.",0.23,gpp,
Micro Booster,0.25,wta,,winner_take_all,inferred_high,"DK Micro Booster family: flat prize to a handful of top finishers, nothing below, so a non-winning finish pays exactly what last place pays. OBSERVED 2026-08-30 on 'MLB 40x Micro Booster [Top 5 Win $10] (Afternoon)' (194681833): 237-entrant field, top 5 each win $10 on a $0.25 entry, breadth 5/237. The 40x in the title is the payout multiple, not the field size. Re-verify field size and paid count on a different dollar instance; the family name does not fix them.",0.021,wta,
Solo Shot,1.00,se_gpp,1,broad_micro_gpp,inferred_high,"DK Solo Shot family: single entry, but a BROAD and shallow curve, not the 1%-breadth single_entry_gpp shape. OBSERVED 2026-08-30 on 'MLB $1.25K Solo Shot (Afternoon)' (194686507): 1486 entrants, paid to 350th (23.5%), 1st $125 / 2nd $100 / 3rd $80 / 4th $65 / 5th $50 / 6th $35, then 7-8 $25, 9-10 $15, 11-15 $10, 16-25 $5, 26-50 $3, 51-100 $2.50, 101-180 $2, 181-350 $1.50. Barbell: top 10 hold $535 of $1250 (43%) and ranks 51-350 hold $540 (43%). payout_shape_default is deliberately broad_micro_gpp and NOT single_entry_gpp, because single_entry_gpp is inside WTA_CONSTRUCTION_SHAPES and would build max-concentration for a curve that pays a quarter of the field. inferred_type stays se_gpp because the entry cap really is 1. OPERATOR NOTE 2026-08-30: this row does NOT drive posture inference. infer_from_name reads inferred_type (se_gpp) and routes to single_entry_gpp, which is inside WTA_CONSTRUCTION_SHAPES; payout_shape_default is recorded here but nothing reads it for posture. Until that is fixed, pass --postures <contest_id>=small_gpp by hand on every Solo Shot. See docs/backlog_inbox/2026-08-30_BUILD_contest-archetype-gaps.md and R196.",0.235,gpp,
